Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Boya-değişen;Log_Fiyat
875000.0;Volkswagen;Golf;1.4 TSi Comfortline;2018.0;215.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Hatchback/5;2 değişen, 3 boyalı;13.681980308196241
1000020.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2012.0;191.000 km;;;;1400 cc;101 - 125 HP;Sedan;Tamamı orjinal;13.815531557743777
885000.0;Volkswagen;Golf;1.6 TDi BlueMotion Midline Plus;2015.0;215.992 km;;;;1598 cc;90 hp;Hatchback/5;3 boyalı;13.69334405393293
509000.0;Volkswagen;Polo;1.2 TDi Trendline;2013.0;211.750 km;;;;1199 cc;75 hp;Hatchback/5;1 değişen, 9 boyalı;13.140205260167273
2050000.0;Volkswagen;Golf;1.5 eTSI Life;2025.0;6.021 km;;;;1498 cc;116 hp;Hatchback/5;Tamamı orjinal;14.53335083891935
295000.0;Volkswagen;Polo;1.Haz;1999.0;175.000 km;;;;1598 cc;75 hp;Hatchback/5;Belirtilmemiş;12.59473402514672
985000.0;Volkswagen;Golf;1.4 TSi Highline;2013.0;230.000 km;;;;1395 cc;122 hp;Hatchback/5;1 değişen, 1 boyalı;13.800397935382136
1435000.0;Volkswagen;Golf;1.0 eTSI Life;2022.0;127.000 km;;;;999 cc;110 hp;Hatchback/5;2 boyalı;14.176676104039727
1457000.0;Volkswagen;Passat;1.5 TSi Impression;2020.0;176.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;2 boyalı;14.191890771518905
1595000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2018.0;173.500 km;;;;1598 cc;120 hp;Sedan;Belirtilmemiş;14.282384921160133
779999.0;Volkswagen;Polo;1.4 TDi Comfortline;2016.0;190.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Hatchback/5;1 değişen, 7 boyalı;13.567049198665774
2495000.0;Volkswagen;Golf;1.5 eTSI R Line;2024.0;32.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Hatchback/5;Tamamı orjinal;14.72979968796928
236750.0;Volkswagen;Golf;1.8 GL;1994.0;185.000 km;;;;1601 - 1800 cm3;76 - 100 HP;Hatchback/5;Tamamı orjinal;12.37476423490424
1250000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2013.0;190.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 değişen, 1 boyalı;14.038654909278163
1250000.0;Volkswagen;Golf;1.4 TSi Highline;2015.0;129.000 km;;;;1395 cc;125 hp;Hatchback/5;Tamamı orjinal;14.038654909278163
1339500.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2014.0;246.500 km;;;;1598 cc;120 hp;Sedan;1 değişen, 1 boyalı;14.107807714513742
1630000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2018.0;230.000 km;;;;1598 cc;120 hp;Sedan;Belirtilmemiş;14.30409118627969
835000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2015.0;255.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;4 boyalı;13.635188201437066
1025000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2015.0;230.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 değişen, 7 boyalı;13.840204146163925
1100000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2012.0;230.498 km;;;;1598 cc;105 hp;Sedan;Belirtilmemiş;13.910821646859095
1085000.0;Volkswagen;Polo;1.0 Impression;2023.0;15.000 km;;;;999 cc;80 hp;Hatchback/5;Tamamı orjinal;13.897091466615258
1419000.0;Volkswagen;Golf;1.0 TSi Highline;2018.0;139.000 km;;;;999 cc;110 hp;Hatchback/5;1 değişen;14.165463660863566
650000.0;Volkswagen;Polo;1.4 Comfortline;2012.0;245.000 km;;;;1390 cc;85 hp;Hatchback/5;4 boyalı;13.384729180332174
650000.0;Volkswagen;Polo;1.4 Comfortline;2012.0;245.000 km;;;;1390 cc;85 hp;Hatchback/5;4 boyalı;13.384729180332174
698000.0;Volkswagen;Jetta;1.2 TSi Comfortline;2012.0;286.000 km;;;;1197 cc;105 hp;Sedan;Tamamı orjinal;13.455975814408239
1630000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2017.0;220.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;Belirtilmemiş;14.30409118627969
1490000.0;Volkswagen;Passat;1.5 TSi Business;2020.0;238.000 km;;;;1498 cc;150 hp;Sedan;Belirtilmemiş;14.214287349062356
1050000.0;Volkswagen;Golf;1.2 TSi Midline Plus;2016.0;190.000 km;;;;1200 cm3' e kadar;101 - 125 HP;Hatchback/5;Tamamı orjinal;13.864301674514206
335000.0;Volkswagen;Polo;1.4 Comfortline;2001.0;262.000 km;;;;1390 cc;100 hp;Hatchback/3;1 değişen;12.721888795877375
1745000.0;Volkswagen;Passat;1.5 TSi Business;2020.0;109.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;Tamamı orjinal;14.372265686684402
2465000.0;Volkswagen;Golf;1.5 eTSI R Line;2024.0;18.500 km;;;;1498 cc;150 hp;Hatchback/5;Tamamı orjinal;14.717702771138358
1519000.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2016.0;148.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;Tamamı orjinal;14.23356343990554
1299900.0;Volkswagen;Polo;1.0 TSi Comfortline;2021.0;52.500 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal;14.07779866568576
1985000.0;Volkswagen;Passat;1.4 TSi BlueMotion Highline;2018.0;84.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;Belirtilmemiş;14.50112997588164
570000.0;Volkswagen;Jetta;1.6 TDi Trendline;2012.0;326.500 km;;;;1598 cc;105 hp;Sedan;1 değişen, 11 boyalı;13.25339339419516
1495000.0;Volkswagen;Passat;1.6 TDi BlueMotion Business;2020.0;162.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;3 değişen, 2 boyalı;14.217637433703022
1150000.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2011.0;138.000 km;;;;1390 cc;122 hp;Sedan;3 değişen, 2 boyalı;13.955273369904273
885000.0;Volkswagen;Polo;1.4 TDi Comfortline;2016.0;199.000 km;;;;1422 cc;90 hp;Hatchback/5;2 boyalı;13.69334405393293
815000.0;Volkswagen;Passat;1.4 TSi BlueMotion Trendline;2011.0;203.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;2 değişen, 4 boyalı;13.610944619216111
857000.0;Volkswagen;Polo;1.4 Comfortline;2011.0;90.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;Belirtilmemiş;13.66119436444038
625000.0;Volkswagen;Passat;1.6 FSi Comfortline;2008.0;304.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 değişen, 6 boyalı;13.345508528717259
1475000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2015.0;149.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;3 boyalı;14.204169225721929
877000.0;Volkswagen;Golf;1.4 TSi Comfortline;2009.0;196.000 km;;;;1390 cc;122 hp;Hatchback/5;2 değişen, 1 boyalı;13.684263411604524
1135000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2012.0;144.000 km;;;;1598 cc;105 hp;Sedan;Tamamı orjinal;13.942144089954521
410000.0;Volkswagen;Bora;1.6 Comfortline;2004.0;285.000 km;;;;1595 cc;102 hp;Sedan;1 değişen, 4 boyalı;12.923914877701906
1085000.0;Volkswagen;Polo;1.2 TSi Comfortline;2015.0;62.250 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal;13.897091466615258
980000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2015.0;243.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;Belirtilmemiş;13.795308871054397
849000.0;Volkswagen;Jetta;1.2 TSi Trendline;2015.0;175.000 km;;;;1200 cm3' e kadar;101 - 125 HP;Sedan;Tamamı orjinal;13.651815643149092
1070000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2013.0;213.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 değişen, 6 boyalı;13.883170141017091
915000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2014.0;410.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;2 değişen, 6 boyalı;13.726680437153236
625000.0;Volkswagen;New Beetle;1.6 Smile;2003.0;250.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/3;Belirtilmemiş;13.345508528717259
1335000.0;Volkswagen;Golf;1.4 TSi Highline;2017.0;139.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Hatchback/5;4 boyalı;14.104442598879876
1439000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;180.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;4 boyalı;14.179459680796295
535000.0;Volkswagen;Jetta;1.6 Comfortline;2007.0;336.900 km;;;;1595 cc;102 hp;Sedan;6 boyalı;13.190023895035274
1615000.0;Volkswagen;Passat;1.4 TSi BlueMotion Highline;2016.0;161.000 km;;;;1201 - 1400 cm3;126 - 150 HP;Sedan;Tamamı orjinal;14.29484613383375
919000.0;Volkswagen;Polo;1.0 Impression;2024.0;24.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Belirtilmemiş;13.731042489476513
1045000.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2011.0;205.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;Tamamı orjinal;13.85952840031839
1039900.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2013.0;192.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;Tamamı orjinal;13.854636074278789
695000.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2012.0;335.000 km;;;;1390 cc;122 hp;Sedan;7 boyalı;13.451668563394815
775000.0;Volkswagen;Golf;1.4 TSi Comfortline;2011.0;255.000 km;;;;1390 cc;122 hp;Hatchback/5;Belirtilmemiş;13.560619598657233
749000.0;Volkswagen;Passat;1.4 TSi BlueMotion Trendline;2011.0;290.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;2 değişen, 3 boyalı;13.52649559761195
1149000.0;Volkswagen;Golf;1.0 TSi Comfortline;2017.0;79.000 km;;;;1200 cm3' e kadar;101 - 125 HP;Hatchback/5;Tamamı orjinal;13.954403427152533
1175000.0;Volkswagen;Jetta;1.4 TSi BlueMotion Highline;2017.0;140.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;2 değişen, 5 boyalı;13.976779556623864
1195000.0;Volkswagen;Polo;1.0 TSi Comfortline;2018.0;145.000 km;;;;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;4 boyalı;13.993657580167481
999000.0;Volkswagen;Scirocco;1.4 TSi Sportline;2016.0;136.000 km;;;;1201 - 1400 cm3;126 - 150 HP;Coupe;2 değişen, 4 boyalı;13.81451105863119
1625000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;70.000 km;;;;1598 cc;120 hp;Sedan;Tamamı orjinal;14.301018989130402
1110000.0;Volkswagen;VW CC;1.4 TSi;2015.0;228.500 km;;;;1201 - 1400 cm3;151 - 175 HP;Coupe;2 değişen, 5 boyalı;13.919871474189012
736900.0;Volkswagen;Polo;1.4 TDi Trendline;2017.0;169.000 km;;;;1422 cc;75 hp;Hatchback/5;3 boyalı;13.510208833790402
1075000.0;Volkswagen;Polo;1.0 Impression;2024.0;20.000 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal;13.887832149776026
742000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2014.0;250.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;1 değişen, 6 boyalı;13.517105869857504
1490000.0;Volkswagen;Golf;1.4 TSi Comfortline;2017.0;128.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Hatchback/5;2 boyalı;14.214287349062356
1830000.0;Volkswagen;Passat;1.5 TSi Business;2021.0;135.000 km;;;;1498 cc;150 hp;Sedan;Belirtilmemiş;14.419827071265543
630000.0;Volkswagen;Jetta;1.4 TSi Tour;2009.0;270.000 km;;;;1390 cc;122 hp;Sedan;4 boyalı;13.353476685668044
1750000.0;Volkswagen;Passat;1.6 TDi BlueMotion Highline;2017.0;175.000 km;;;;1598 cc;120 hp;Sedan;Belirtilmemiş;14.375126917328105
1820000.0;Volkswagen;Passat;1.5 TSi Impression;2021.0;49.000 km;;;;1498 cc;150 hp;Sedan;Belirtilmemiş;14.414347608503377
465000.0;Volkswagen;Polo;1.4 Basicline;2005.0;217.000 km;;;;1390 cc;75 hp;Hatchback/5;1 değişen, 6 boyalı;13.049794835104816
955000.0;Volkswagen;Golf;1.6 TDi BlueMotion Comfortline;2016.0;258.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;Tamamı orjinal;13.769467666582738
1125000.0;Volkswagen;Golf;1.6 TDi BlueMotion Comfortline;2017.0;208.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;Tamamı orjinal;13.933294482509151
870000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2012.0;235.000 km;;;;1598 cc;105 hp;Sedan;6 boyalı;13.676249640055394
755000.0;Volkswagen;Polo;1.6 TDi Comfortline;2013.0;201.000 km;;;;1401 - 1600 cm3;76 - 100 HP;Hatchback/5;3 değişen, 3 boyalı;13.534474352733596
1715000.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2018.0;100.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;Tamamı orjinal;14.354924221672386
1205000.0;Volkswagen;Jetta;1.4 TSi BlueMotion Comfortline;2017.0;149.000 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;Tamamı orjinal;14.001990954782066
1680000.0;Volkswagen;Passat;1.4 TSi BlueMotion Highline;2016.0;72.440 km;;;;1201 - 1400 cm3;101 - 125 HP;Sedan;3 değişen, 5 boyalı;14.33430494661736
1600000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;203.000 km;;;;1598 cc;120 hp;Sedan;Belirtilmemiş;14.285514812209815
529000.0;Volkswagen;Golf;1.6 FSi Midline;2004.0;262.000 km;;;;1598 cc;115 hp;Hatchback/5;Belirtilmemiş;13.178745601197818
325000.0;Volkswagen;Passat;1.8 Basic;1998.0;371.000 km;;;;1781 cc;125 hp;Sedan;1 değişen, 12 boyalı;12.691583538230217
850000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2011.0;200.550 km;;;;1598 cc;105 hp;Sedan;1 değişen, 3 boyalı;13.652992804936396
1035000.0;Volkswagen;Jetta;1.4 TSi BlueMotion Comfortline;2016.0;177.000 km;;;;1395 cc;125 hp;Sedan;2 değişen, 2 boyalı;13.849912950864715
1525000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2015.0;164.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;Tamamı orjinal;14.23750562376114
1200000.0;Volkswagen;Golf;1.4 TSi Comfortline;2013.0;168.000 km;;;;1395 cc;122 hp;Hatchback/5;Tamamı orjinal;13.997832948091215
199750.0;Volkswagen;Polo;1.6 Classic;1997.0;94.000 km;;;;1595 cc;100 hp;Sedan;Belirtilmemiş;12.204826869873813
1250000.0;Volkswagen;Polo;1.0 TSi Comfortline;2021.0;103.000 km;;;;999 cc;95 hp;Hatchback/5;Belirtilmemiş;14.038654909278163
785000.0;Volkswagen;Jetta;1.6 TDi Exclusive;2011.0;277.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;Tamamı orjinal;13.573440270649085
1385000.0;Volkswagen;Golf;1.0 eTSI Life;2021.0;156.500 km;;;;999 cc;110 hp;Hatchback/5;Belirtilmemiş;14.141211419624977
1490000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2017.0;180.000 km;;;;1598 cc;120 hp;Sedan;Belirtilmemiş;14.214287349062356
900000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2014.0;273.000 km;;;;1598 cc;105 hp;Sedan;1 değişen;13.710151153416941
1185000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;250.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;3 değişen, 2 boyalı;13.98525417643287
610000.0;Volkswagen;Jetta;1.6 Primeline;2010.0;375.000 km;;;;1595 cc;102 hp;Sedan;Belirtilmemiş;13.321215875492413
1473000.0;Volkswagen;Polo;1.0 TSi Life;2024.0;6.046 km;;;;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;Tamamı orjinal;14.202812374331163
1100000.0;Volkswagen;Jetta;1.6 TDi Highline;2014.0;197.000 km;;;;1598 cc;105 hp;Sedan;Tamamı orjinal;13.910821646859095
710000.0;Volkswagen;Polo;1.6 TDi Comfortline;2013.0;280.000 km;;;;1598 cc;90 hp;Hatchback/5;4 boyalı;13.47302165746721
300000.0;Volkswagen;Polo;1.Haz;2000.0;278.000 km;;;;1598 cc;75 hp;Hatchback/5;Belirtilmemiş;12.611541086966115
665000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2011.0;272.000 km;;;;1598 cc;105 hp;Sedan;5 boyalı;13.407543823396258
1135000.0;Renault;Clio;1.0 TCe Touch;2020.0;56.000 km;;;;999 cc;100 hp;Hatchback/5;Tamamı orjinal;13.942144089954521
