Fiyat;Seri;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Log_Fiyat;Boya;Değişen;Marka_Audi;Marka_BMW;Marka_Chevrolet;Marka_Citroen;Marka_Fiat;Marka_Ford;Marka_Honda;Marka_Hyundai;Marka_Mercedes - Benz;Marka_Opel;Marka_Peugeot;Marka_Renault;Marka_Skoda;Marka_Toyota;Marka_Volkswagen
720000.0;829838.5428571429;2014.0;238000;1;1;2;1500.5;88.0;4;13.487007879880162;10;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
675000.0;861580.0;2013.0;232000;1;1;2;1598.0;105.0;8;13.42246945133505;4;3;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1375000.0;1383730.0;2018.0;220000;1;1;2;1598.0;120.0;8;14.13396501635527;2;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1760000.0;1383730.0;2021.0;133000;1;0;2;1500.5;138.0;8;14.38082493519599;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1680000.0;1383730.0;2020.0;155000;1;0;2;1500.5;138.0;8;14.33430494661736;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1345000.0;1280278.5714285714;2015.0;137900;1;0;2;1300.5;113.0;4;14.111905314512224;2;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
2440000.0;1383730.0;2020.0;127000;1;1;2;1500.5;113.0;8;14.707509007105369;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1200000.0;829838.5428571429;2020.0;65000;1;0;2;999.0;95.0;4;13.997832948091215;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
499900.0;829838.5428571429;2012.0;245000;2;1;2;1198.0;70.0;4;13.12216535779974;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1060000.0;1280278.5714285714;2014.0;220000;1;1;2;1598.0;105.0;4;13.87378040948403;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
