Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;İlan Tarihi;Boya-değişen;Araç Durumu;Link
1.070.000 TL;Opel;Astra;1.4 T Edition Plus;2017;94.500 km;Otomatik;56 lt;Beyaz;1364 cc;140 hp;Sedan;29.Kas.25;3 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-opel-astra-1-4-t-edition-plus/sahibinden-opel-astra-1-4-t-edition-plus-2017-model/35295899
235.000 TL;Opel;Vectra;1.6 GL;1998;310.000 km;Düz;LPG & Benzin;Beyaz;1401 - 1600 cm3;76 - 100 HP;Sedan;29.Kas.25;1 değişen, 8 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-vectra-1-6-gl/1998-model-opel-vectra-1-6-gl-16-v/35286131
1.085.000 TL;Opel;Corsa;1.2 Turbo Edition;2020;37.000 km;Otomatik;44 lt;Kırmızı;1199 cc;100 hp;Hatchback/5;29.Kas.25;2 değişen, 2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-2-turbo-edition/opel-corsa-2020-model-1-2-t-edition-otomatik-orjinal-37-bin-km/35169969
1.200.000 TL;Opel;Astra;1.5 D Edition;2023;43.000 km;Otomatik;Dizel;Gri (Gümüş);1401 - 1600 cm3;126 - 150 HP;Hatchback/5;29.Kas.25;1 değişen, 1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-5-d-edition/43-binde-piril-piril-astra/35282454
1.220.000 TL;Opel;Corsa;1.2 Turbo Ultimate;2021;58.000 km;Otomatik;44 lt;Kırmızı;1199 cc;130 hp;Hatchback/5;28.Kas.25;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-2-turbo-ultimate/elit-otodan-hatasiz-boyasiz-tramersiz/35276780
620.000 TL;Opel;Astra;1.6 Enjoy Plus;2012;225.000 km;Düz;52 lt;Siyah;1598 cc;115 hp;Sedan;28.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-6-enjoy-plus/hatasiz-degisensiz-boyasiz-tramersiz-j-kasa-opel-astra-1-6-enjoy-plus-2012-model/35269577
410.000 TL;Opel;Vectra;1.6 Comfort;2004;350.500 km;Düz;61 lt;Beyaz;1598 cc;100 hp;Sedan;28.Kas.25;3 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-vectra-1-6-comfort/galeriden-opel-vectra-1-6-comfort-2004-model-sanliurfa/32853543
;;;;;;;;;;;;;;;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-2-turbo-edition/hatasiz-boyasiz-2021-48-bin-km/35254980
835.000 TL;Opel;Astra;1.6 Edition Plus;2016;98.000 km;Düz;56 lt;Kahverengi;1598 cc;115 hp;Sedan;28.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-6-edition-plus/opel-astra-edition-plus-1-6-benzin-lpg-2016-98000km-hatasiz/35253926
725.000 TL;Opel;Astra;1.6 Edition;2015;54.000 km;Düz;56 lt;Beyaz;1598 cc;115 hp;Hatchback/5;28.Kas.25;4 değişen, 1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-6-edition/2015-opel-astra-54-000-km-1-6-edition/35242893
644.000 TL;Opel;Astra;1.6 Edition;2015;145.000 km;Düz;56 lt;Siyah;1598 cc;115 hp;Hatchback/5;28.Kas.25;2 değişen, 6 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-6-edition/sahibinden-temiz-araba/34753218
745.000 TL;Opel;Astra;1.6 CDTI Business;2015;245.000 km;Düz;52 lt;Beyaz;1598 cc;110 hp;Hatchback/5;27.Kas.25;1 değişen, 4 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-6-cdti-business/galeriden-temiz-arac-ariyana-opel-astra-1-6-cdti-business-2015-model-diyarbakir/35224208
749.000 TL;Opel;Corsa;1.4 Twinport Enjoy;2011;150.000 km;Otomatik;LPG & Benzin;Beyaz;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;27.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-4-twinport-enjoy/ms-auto-dan-2011-ilk-el-150-000-km-hatasiz-boyasiz-otomatik/35213255
1.119.500 TL;Opel;Corsa;1.2 Turbo Edition;2020;69.500 km;Otomatik;44 lt;Gri;1199 cc;100 hp;Hatchback/5;27.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-2-turbo-edition/cinardan-hatasiz-boyasiz-69-bin-km/35212847
295.000 TL;Opel;Astra;1.3 CDTI Essentia;2006;282.000 km;Düz;52 lt;Beyaz;1248 cc;90 hp;Hatchback/5;27.Kas.25;6 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-3-cdti-essentia/opel-astra-cok-temiz-masrafsizdir/34674730
1.139.000 TL;Opel;Astra;1.4 T Dynamic;2016;125.000 km;Otomatik;48 lt;Gri;1399 cc;150 hp;Station wagon;27.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-4-t-dynamic/hatasiz-2016-model-opel-astra-koltuk-direksiyon-isitma-otomatik/33560321
845.000 TL;Opel;Corsa;1.4 Enjoy;2015;55.000 km;Düz;Benzin;Gri;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;27.Kas.25;1 değişen, 2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-4-enjoy/2015-opel-corsa-1-4-ilk-sahibinden-55-000-km/32984890
815.000 TL;Opel;Astra;1.6 CDTI Design;2017;223.000 km;Otomatik;56 lt;Siyah;1598 cc;136 hp;Sedan;26.Kas.25;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-6-cdti-design/arac-istanbuldadir-opel-astra-1-6-cdti-design-2017-model/35196936
1.100.000 TL;Opel;Insignia;1.6 CDTI Cosmo;2016;137.800 km;Otomatik;70 lt;Siyah;1598 cc;136 hp;Sedan;26.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-opel-insignia-1-6-cdti-cosmo/sahibinden-orjinal-opel-insignia-1-6-cdti-cosmo-2016-model/32842245
520.000 TL;Opel;Astra;1.6 Enjoy;2010;150.000 km;Düz;LPG & Benzin;Mavi;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;26.Kas.25;1 değişen, 6 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-6-enjoy/astra-1-6-enjoy-155km-kusursuz/35178098
919.000 TL;Opel;Corsa;1.2 Edition;2020;60.000 km;Düz;40 lt;Gri;1199 cc;75 hp;Hatchback/5;26.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-2-edition/ucn-motorsdan-boyasiz-corsa-tablet-serit-tkp-tabela-okuma/31987939
894.000 TL;Opel;Astra;1.6 Edition Plus;2016;88.822 km;Düz;Benzin;Gri;1401 - 1600 cm3;101 - 125 HP;Sedan;26.Kas.25;2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-6-edition-plus/karoto-2016-opel-astra-sedan-1-6-edition-plus-115hp-88-822km/32942860
728.000 TL;Opel;Astra;1.3 CDTI Sport;2014;187.000 km;Düz;Dizel;Beyaz;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;26.Kas.25;3 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-3-cdti-sport/temiz-aile-araci-dizel/34627019
"1.135.000 TL
1.118.000 TL";Opel;Insignia;1.6 CDTI Grand Sport Enjoy;2017;184.000 km;Otomatik;62 lt;Füme;1598 cc;136 hp;Hatchback/5;26.Kas.25;2 değişen, 2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-insignia-1-6-cdti-grand-sport-enjoy/otomatik-dizel-koltuk-isitma/34070779
305.000 TL;Opel;Astra;1.6 CD;1999;340.000 km;Düz;52 lt;Lacivert;1598 cc;100 hp;Hatchback/5;26.Kas.25;1 değişen, 9 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-6-cd/1999-masrafsiz-opel-astra-cd/33962278
710.000 TL;Opel;Insignia;1.4 T Edition Elegance;2012;243.000 km;Düz;70 lt;Beyaz;1364 cc;140 hp;Sedan;26.Kas.25;4 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-insignia-1-4-t-edition-elegance/karner-den-hatasiz-ayarinda-insignia-2012-model-cam-gibi/32537388
425.000 TL;Opel;Astra;1.3 CDTI Essentia;2005;280.000 km;Düz;52 lt;Mavi;1248 cc;90 hp;Hatchback/5;25.Kas.25;2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-3-cdti-essentia/2005-model-1-3-cdti-dizel-90-beygir-duz-vites-masrafsiz-ekonomik/35155226
898.000 TL;Opel;Astra;1.4 T Sport;2013;142.500 km;Otomatik;Benzin;Beyaz;1201 - 1400 cm3;126 - 150 HP;Hatchback/5;25.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-4-t-sport/snm-auto-dan-emsalsiz-makyajli-kasa-sadece-142-binde/35138659
863.000 TL;Opel;Corsa;1.2 Edition;2020;59.851 km;Düz;40 lt;Gri (metalik);1199 cc;75 hp;Hatchback/5;25.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-opel-corsa-1-2-edition/sahibinden-opel-corsa-1-2-edition-2020-model/35135145
725.000 TL;Opel;Insignia;2.0 CDTI Cosmo;2010;277.000 km;Otomatik;Dizel;Beyaz;1801 - 2000 cm3;151 - 175 HP;Sedan;25.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-insignia-2-0-cdti-cosmo/2010-opel-insgna-dizel/35135032
695.000 TL;Opel;Insignia;2.0 CDTI Edition Elegance;2014;359.000 km;Otomatik;Dizel;Beyaz;1801 - 2000 cm3;176 - 200 HP;Sedan;25.Kas.25;1 değişen, 4 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-insignia-2-0-cdti-edition-elegance/armagan-motors-dan-2014-opel-insignia-2-0-cdti-edition-elegance/35134913
425.000 TL;Opel;Vectra;1.6 Comfort;2004;290.000 km;Düz;61 lt;Lacivert;1598 cc;100 hp;Sedan;25.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-vectra-1-6-comfort/manayci-dan-opel-vectra-1-6-comfort-degisensiz-kayitsiz/35134092
665.000 TL;Opel;Corsa;1.4 Twinport Active;2014;197.000 km;Düz;LPG & Benzin;Gri;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;25.Kas.25;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-4-twinport-active/2014-model-corsa-emsalsiz-temizlikte/35133723
1.500.000 TL;Opel;Insignia;1.5 d Exclusive;2021;92.900 km;Otomatik;62 lt;Kahverengi;1496 cc;122 hp;Hatchback/5;25.Kas.25;6 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-opel-insignia-1-5-d-exclusive/sahibinden-orjinal-dusuk-km-opel-insignia-1-5-d-grand-sport-exclusive-2021-model-en-dolusu/32555893
605.000 TL;Opel;Corsa;1.3 CDTI Enjoy;2014;160.000 km;Düz;Dizel;Beyaz;1201 - 1400 cm3;51 - 75 HP;Hatchback/5;25.Kas.25;5 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-3-cdti-enjoy/2-sahibinde-degisensiz-temiz-corsa-k-k-gecerli/35133233
180.000 TL;Opel;Corsa;1.4 Swing;1996;330.000 km;Düz;42 lt;Yeşil (metalik);1388 cc;90 hp;Hatchback/5;25.Kas.25;1 değişen;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-4-swing/opel-corsa-1-4-swing-1996/32929678
500.000 TL;Opel;Corsa;1.2 Enjoy;2016;231.000 km;Düz;Benzin;Beyaz;1201 - 1400 cm3;51 - 75 HP;Hatchback/5;25.Kas.25;1 değişen, 6 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-2-enjoy/ysn-motors-dan-temiz-corsa-1-2-enjoy/34539855
259.000 TL;Opel;Corsa;1.3 CDTI Cosmo;2005;350.000 km;Düz;44 lt;Beyaz;1248 cc;70 hp;Hatchback/5;25.Kas.25;1 değişen, 6 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-3-cdti-cosmo/piril-piril-corsa-1-3dizel/34028588
1.200.000 TL;Opel;Insignia;1.6 T Cosmo;2014;102.500 km;Otomatik;Benzin;Beyaz;1401 - 1600 cm3;151 - 175 HP;Sedan;25.Kas.25;2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-insignia-1-6-t-cosmo/2014-insignia-1-6t-cosmo-hafiza-touchpad-afl-mercekli-far-hatasz/32953849
577.000 TL;Opel;Astra;1.3 CDTI Edition;2012;228.000 km;Düz;56 lt;Siyah;1248 cc;95 hp;Hatchback/5;24.Kas.25;1 değişen, 3 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-3-cdti-edition/2b-otomotivden-satilikopel-astra-1-3-cdti-edition-2012-model-antalya/35109802
595.000 TL;Opel;Corsa;1.3 CDTI Enjoy;2014;189.000 km;Düz;45 lt;Füme;1248 cc;75 hp;Hatchback/5;24.Kas.25;5 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-3-cdti-enjoy/2014-opel-corsa-enjoy-active-hatasiz-degisensiz-dolu-paket/35100071
"357.500 TL
335.750 TL";Opel;Meriva;1.3 CDTI Essentia;2007;335.000 km;Düz;53 lt;Siyah;1248 cc;75 hp;MPV;24.Kas.25;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-meriva-1-3-cdti-essentia/mm-motors-dan-opel-meriva-1-3-cdti-essentia-2007-model-istanbul/34952713
1.200.000 TL;Opel;Insignia;1.6 CDTI Grand Sport Elite;2017;220.000 km;Otomatik;62 lt;Beyaz;1598 cc;136 hp;Hatchback/5;24.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-insignia-1-6-cdti-grand-sport-elite/albayrak-auto-opel-insignia-1-6-cdti-grand-sport-elite-2017-model-full-full/34842287
1.610.000 TL;Opel;Astra;1.2 T GS;2023;45.000 km;Otomatik;52 lt;Siyah;1199 cc;132 hp;Hatchback/5;24.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-2-t-gs/1-em-auto-dan-2023-opel-astra-hatasiz-boyasiz-e-toggle-cam-tvn/35080255
450.000 TL;Opel;Astra;1.6 Elegance;2001;294.810 km;Otomatik;52 lt;Gri;1598 cc;100 hp;Sedan;24.Kas.25;1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-6-elegance/2001-modelopel-astra1-6-elegance16-vecotecdegisen-yoktur/34827446
595.000 TL;Opel;Insignia;1.6 T Edition;2011;260.000 km;Düz;70 lt;Füme;1598 cc;180 hp;Sedan;24.Kas.25;2 değişen, 10 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-insignia-1-6-t-edition/bazaar-otomotivden-2011-model-opel-insignia-1-6-t/28386056
667.000 TL;Opel;Astra;1.6 Sport;2010;227.000 km;Yarı Otomatik;52 lt;Siyah;1598 cc;115 hp;Hatchback/3;24.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-6-sport/pkr-otomotivden-otomotik-degisensiz-orninal-km-astra-j-sport/35123547
1.285.000 TL;Opel;Corsa;1.2 Turbo Ultimate;2023;50.000 km;Otomatik;44 lt;Siyah;1199 cc;130 hp;Hatchback/5;24.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-2-turbo-ultimate/2023-opel-corsa-ultimate-cam-tavan/33421656
754.950 TL;Opel;Astra;1.6 CDTI Design;2017;246.000 km;Otomatik;56 lt;Beyaz;1598 cc;136 hp;Sedan;23.Kas.25;4 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-opel-astra-1-6-cdti-design/sahibinden-temiz-opel/35049367
835.000 TL;Opel;Astra;1.4 T Cosmo;2012;194.000 km;Düz;56 lt;Mavi;1364 cc;140 hp;Hatchback/5;23.Kas.25;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-4-t-cosmo/ortam-otomotivden-boyasiz-degisensiz-tramersiz-astra-j-1-4t/35049149
937.500 TL;Opel;Corsa;1.4 Enjoy;2017;110.000 km;Otomatik;Benzin;Beyaz;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;23.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-4-enjoy/kulce-den-2017-corsa-enjoy-otomatik-hatasiz-kredi-kart-12-tkst/35133229
650.000 TL;Opel;Insignia;2.0 CDTI Cosmo;2013;335.000 km;Otomatik;70 lt;Siyah;1956 cc;160 hp;Sedan;22.Kas.25;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-insignia-2-0-cdti-cosmo/galeriden-opel-insignia-2-0-cdti-cosmo-2013-model-tekirdag/35033396
429.000 TL;Opel;Corsa;1.2 Twinport Enjoy;2005;125.000 km;Yarı Otomatik;44 lt;Gri;1229 cc;80 hp;Hatchback/3;22.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-2-twinport-enjoy/2005-opel-corsa-1-2t-boyasiz-125-bin-km-otomatik-hatasiz-benzin/34753329
725.000 TL;Opel;Astra;1.6 Edition Plus;2017;210.000 km;Düz;56 lt;Gri (Gümüş);1598 cc;115 hp;Sedan;22.Kas.25;1 değişen, 4 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-6-edition-plus/2017-model-opel-astra-1-6-edition-plus-bakimli-hatasiz-ayarinda/32840596
1.199.900 TL;Opel;Insignia;1.6 CDTI Sport;2016;175.000 km;Otomatik;70 lt;Gri;1598 cc;136 hp;Sedan;22.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-insignia-1-6-cdti-sport/2016-boyasiz-opel-insignia-1-6-cdti-sport-opc-paket-sunroof/34180779
700.000 TL;Opel;Astra;1.6 CDTI Elite;2017;190.000 km;Otomatik;56 lt;Beyaz;1598 cc;136 hp;Sedan;22.Kas.25;1 değişen, 7 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-6-cdti-elite/dusuk-km-2017-otomatik-astra/31631468
469.000 TL;Opel;Corsa;1.3 CDTI Enjoy;2013;254.000 km;Düz;45 lt;Beyaz;1248 cc;95 hp;Hatchback/3;21.Kas.25;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-3-cdti-enjoy/opel-corsa-1-3-cdti-enjoy-2013-model-ankara/32649384
1.420.000 TL;Opel;Corsa;1.2 T GS;2024;25.000 km;Otomatik;44 lt;Mavi;1199 cc;100 hp;Hatchback/5;21.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-2-t-gs/mavioglu-otomotiv-den-hatasiz-boyasiz-corsa-1-2t-gs/34755164
870.000 TL;Opel;Astra;1.4 Enjoy;2017;140.100 km;Düz;48 lt;Beyaz;1399 cc;100 hp;Hatchback/5;21.Kas.25;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-4-enjoy/hatasiz-dusuk-km/34720072
975.000 TL;Opel;Corsa;1.4 Enjoy;2018;29.000 km;Otomatik;Benzin;Kırmızı;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;21.Kas.25;2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-4-enjoy/sifirdan-farksiz-tam-otomatik-6-ileri/35133301
"535.000 TL
515.000 TL";Opel;Astra;1.6 Enjoy;2008;249.000 km;Yarı Otomatik;52 lt;Gri;1598 cc;115 hp;Sedan;21.Kas.25;6 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-6-enjoy/aydinlar-otomotiv-den-astra-sedan-1-6-enjoy-otomatik-vites/32802975
645.000 TL;Opel;Astra;1.6 Essentia;2011;131.000 km;Otomatik;Benzin;Siyah;1401 - 1600 cm3;101 - 125 HP;Hatchback/5;20.Kas.25;3 değişen, 1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-6-essentia/ync-motors-2011-opel-astra-1-6-otomatk-131-000km-k-karti-0-kmsyn/34980419
899.950 TL;Opel;Corsa;1.4 Color Edition;2015;37.000 km;Otomatik;45 lt;Kahverengi;1398 cc;90 hp;Hatchback/5;20.Kas.25;1 değişen, 4 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-4-color-edition/2015-37-000-kmde-color-edition-otomatik-vites-corsa-cift-renk/34966856
650.000 TL;Opel;Corsa;1.3 CDTI Enjoy;2015;194.000 km;Düz;45 lt;Mavi;1248 cc;75 hp;Hatchback/5;20.Kas.25;1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-3-cdti-enjoy/hatasiz-1-parca-boyali-opel-corsa/34961965
850.000 TL;Opel;Corsa;1.4 Enjoy;2015;136.000 km;Otomatik;45 lt;Siyah;1398 cc;90 hp;Hatchback/5;20.Kas.25;6 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-4-enjoy/kardesler-autodan-2015-opel-corsa-1-4-enjoy-tam-otomatik-90-hp/33868917
725.000 TL;Opel;Corsa;1.4 Twinport Enjoy;2011;167.000 km;Otomatik;LPG & Benzin;Kahverengi;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;20.Kas.25;1 değişen, 5 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-4-twinport-enjoy/2011-model-1-4-lpgli-enjoy-tam-otomatik-167-bin-km-de/35133771
195.000 TL;Opel;Vectra;2.0 GLS;1996;396.935 km;Düz;Benzin;Gri;1998 cc;115 hp;Sedan;20.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-vectra-2-0-gls/era-luxe-den-opel-vectra-b-sorunsuz-temiz-muayne-yeni/32942660
1.259.900 TL;Opel;Corsa;1.2 Turbo Edition;2025;19.000 km;Otomatik;44 lt;Beyaz;1199 cc;100 hp;Hatchback/5;20.Kas.25;4 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-2-turbo-edition/1-19-kredi-beyond-2025-19-000-km-degisensiz-tertemiz-corsa/32722084
708.000 TL;Opel;Astra;1.3 CDTI Essentia Konfor;2011;200.000 km;Yarı Otomatik;52 lt;Gri;1248 cc;90 hp;Hatchback/5;19.Kas.25;2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-3-cdti-essentia-konfor/2011-model-opel-astra-h-kasa-otomatik-1-3-cdti-essentia-konfor/33707158
245.000 TL;Opel;Vectra;2.0 CDX;1997;300.000 km;Düz;61 lt;Siyah;1998 cc;136 hp;Sedan;19.Kas.25;4 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-vectra-2-0-cdx/galeriden-opel-vectra-2-0-cdx-1998-model-usak/34651732
985.000 TL;Opel;Corsa;1.4 Essentia;2018;53.000 km;Otomatik;Benzin;Kırmızı;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;19.Kas.25;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-4-essentia/egesay-motors-dan-2018-opel-corsa-1-4-essentia/33801136
485.000 TL;Opel;Astra;1.3 CDTI Enjoy;2009;333.000 km;Yarı Otomatik;52 lt;Gri;1248 cc;90 hp;Hatchback/5;19.Kas.25;4 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-astra-1-3-cdti-enjoy/2009-degisensiz-parca-boyali-otomatik/32366610
335.000 TL;Opel;Astra;1.6 Elegance;2005;247.000 km;Düz;52 lt;Mavi;1598 cc;105 hp;Hatchback/5;18.Kas.25;2 değişen, 5 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-opel-astra-1-6-elegance/acil-satilik-cok-uygun-opel-astra-1-6-elegance-2005-model/31948101
209.999 TL;Opel;Corsa;1.2 Swing;2000;285.000 km;Düz;42 lt;Sarı;1199 cc;65 hp;Hatchback/5;18.Kas.25;Tamamı boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-2-swing/motor-sifir-1-tl-masrafsiz/34870566
499.500 TL;Opel;Corsa;1.3 CDTI Enjoy;2011;235.000 km;Düz;Dizel;Beyaz;1201 - 1400 cm3;51 - 75 HP;Hatchback/5;18.Kas.25;4 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-3-cdti-enjoy/rose-motors-dan-hatasiz-ayarinda-corsa/34318850
"725.000 TL
715.000 TL";Opel;Corsa;1.2 Twinport Essentia;2012;171.500 km;Otomatik;LPG & Benzin;Beyaz;1201 - 1400 cm3;76 - 100 HP;Hatchback/5;18.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-2-twinport-essentia/boyasiz-degisensiz-o-v-dusuk-km-beyaz-renk-corsa/34318545
1.110.000 TL;Opel;Corsa;1.2 Turbo Edition;2024;46.000 km;Otomatik;Benzin;Füme;1200 cm3' e kadar;76 - 100 HP;Hatchback/5;18.Kas.25;2 değişen;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-2-turbo-edition/2024-opel-corsa-edition-46-000-km/34272871
1.299.000 TL;Opel;Corsa;1.2 Turbo Ultimate;2023;22.250 km;Otomatik;44 lt;Siyah;1199 cc;130 hp;Hatchback/5;18.Kas.25;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-corsa-1-2-turbo-ultimate/hatasiz-boyasiz-degisensiz-ve-tramersiz-cam-tavan-g-g-kamerasi/33802770
225.000 TL;Opel;Vectra;2.0 CD;1996;370.750 km;Düz;Benzin;Yeşil;1801 - 2000 cm3;126 - 150 HP;Sedan;18.Kas.25;1 değişen, 12 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-vectra-2-0-cd/2000-vectra-2-0-cd-klima-muayer-kredi-karti-taksit-imkani/31773267
929.000 TL;Opel;Insignia;1.6 CDTI Design;2016;163.000 km;Otomatik;70 lt;Beyaz;1598 cc;136 hp;Sedan;17.Kas.25;4 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-opel-insignia-1-6-cdti-design/hy-cars-tan-2016-opel-insignia-design-degisensiz-tramersiz-bakimli/34537458
