Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;İlan Tarihi;Boya-değişen;Araç Durumu;Link
1.120.000 TL;Toyota;Corolla;1.5 Vision;2022.0;151.500 km;;;;1490 cc;125 hp;Sedan;20 Ekim 2025;3 değişen;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-5-vision/demirbas-auto-dan-2022-toyota-corolla-vision-otomatik/33770355
1.225.000 TL;Toyota;Corolla;1.6 Dream;2020.0;60.000 km;;;;1598 cc;132 hp;Sedan;20 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-toyota-corolla-1-6-dream/sahibinden-toyota-corolla-1-6-dream-2020-model/33770253
1.100.000 TL;Toyota;Corolla;1.6 Advance;2014.0;170.000 km;;;;1598 cc;132 hp;Sedan;20 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-toyota-corolla-1-6-advance/sahibinden-toyota-corolla-1-6-advance-2014-model/33757587
345.000 TL;Toyota;Corolla;1.6 GLi;1997.0;425.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;20 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-6-gli/1997-xei-klimali-mukkemmel-kondisyon/33708683
940.000 TL;Toyota;Corolla;1.33 Life;2016.0;84.400 km;;;;1329 cc;99 hp;Sedan;20 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-toyota-corolla-1-33-life/sahibinden-toyota-corolla-1-33-life-2016-model/33758994
920.000 TL;Toyota;Auris;1.4 D-4D Advance Skypack;2013.0;210.000 km;;;;1364 cc;90 hp;Hatchback/5;20 Ekim 2025;1 değişen, 2 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-toyota-auris-1-4-d-4d-advance-skypack/ilk-sahibinden-aile-araci/15173749
950.000 TL;Toyota;Corolla;1.4 D-4D Touch;2016.0;185.000 km;;;;1364 cc;90 hp;Sedan;20 Ekim 2025;3 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-toyota-corolla-1-4-d-4d-touch/sahibinden-toyota-corolla-1-4-d-4d-touch-2016-model/33757077
1.550.000 TL;Toyota;Corolla;1.5 Vision;2023.0;13.000 km;;;;1490 cc;125 hp;Sedan;20 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-toyota-corolla-1-5-vision/sahibinden-toyota-corolla-1-5-vision-2023-model/33508145
795.000 TL;Toyota;Corolla;1.33 Life;2013.0;137.700 km;;;;1329 cc;99 hp;Sedan;20 Ekim 2025;2 değişen, 1 boyalı;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-toyota-corolla-1-33-life/sahibinden-yetkili-servis-bakimli-toyota-corolla/33760594
1.235.000 TL;Toyota;Corolla;1.6 Dream;2020.0;198.000 km;;;;1598 cc;132 hp;Sedan;20 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-toyota-corolla-1-6-dream/sahibinden-toyota-corolla-1-6-multidrive-s-2020-model/33735142
675.000 TL;Toyota;Corolla;1.6 Comfort;2008.0;215.000 km;;;;1598 cc;124 hp;Sedan;20 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-toyota-corolla-1-6-comfort/sahibinden-toyota-corolla-1-6-comfort-2008-model/33760312
295.000 TL;Toyota;Corolla;1.6 XEi;1997.0;338.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;20 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-toyota-corolla-1-6-xei/sahibinden-toyota-corolla-1-6-xei-1997-model/33759985
385.000 TL;Toyota;Corolla;1.6 GLi Special;1998.0;361.000 km;;;;1587 cc;114 hp;Sedan;20 Ekim 2025;3 değişen;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-toyota-corolla-1-6-gli-special/sahibinden-toyota-corolla-1-6-gli-special-1998-model/33759849
1.409.000 TL;Toyota;Corolla;1.5 Vision Plus;2024.0;34.869 km;;;;1490 cc;125 hp;Sedan;20 Ekim 2025;1 değişen;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-toyota-corolla-1-5-vision-plus/asf-otomotiv-2024-corolla-1-5-otomatik-vision-plus-20-kdv/33768614
930.000 TL;Toyota;Avensis;1.6 Elegant Extra;2012.0;150.000 km;;;;1401 - 1600 cm3;126 - 150 HP;Sedan;20 Ekim 2025;1 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-toyota-avensis-1-6-elegant-extra/onder-de-2012-avensis-elegant-extra-hatasiz-152-000km-demakyajli/33768942
875.000 TL;Toyota;Avensis;1.6 D-4D Premium;2015.0;194.000 km;;;;1598 cc;112 hp;Station wagon;20 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-toyota-avensis-1-6-d-4d-premium/degisensiz-dolu-paket-avensis-uygun-fiyata/33768941
