Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Boya-değişen;Log_Fiyat
1465000.0;Volkswagen;Golf;1.6 TDi BlueMotion Highline;2018.0;149000;Otomatik;Dizel;;1500.5;113.0;Hatchback/5;Tamamı orjinal;14.19736648302693
279900.0;Volkswagen;Polo;1.4 Comfortline;2001.0;310000;Düz;Dizel;;1390.0;100.0;Hatchback/5;Belirtilmemiş;12.5421912482017
1165000.0;Volkswagen;Polo;1.2 TSi Comfortline;2017.0;65000;Otomatik;Benzin;;1197.0;90.0;Hatchback/5;Tamamı orjinal;13.968232503350668
1165000.0;Volkswagen;Polo;1.2 TSi Comfortline;2017.0;65000;Otomatik;Benzin;;1197.0;90.0;Hatchback/5;Tamamı orjinal;13.968232503350668
697500.0;Volkswagen;Jetta;1.6 Primeline;2008.0;199000;Yarı Otomatik;Dizel;;1595.0;102.0;Sedan;7 boyalı;13.455259226368389
1775000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;148000;Otomatik;Dizel;;1598.0;120.0;Sedan;Belirtilmemiş;14.389311544271775
1905000.0;Volkswagen;Passat;1.5 TSi Business;2022.0;93000;Otomatik;Benzin;;1498.0;150.0;Sedan;Tamamı orjinal;14.459993091477184
1255000.0;Volkswagen;Polo;1.0 TSi Life;2023.0;104000;Otomatik;Benzin;;1200.0;88.0;Hatchback/5;Tamamı orjinal;14.042646927360453
985000.0;Volkswagen;Golf;1.6 TDi BlueMotion Comfortline;2014.0;235000;Otomatik;Dizel;;1500.5;113.0;Hatchback/5;Belirtilmemiş;13.800397935382136
500000.0;Volkswagen;Golf;1.6 Primeline;2005.0;154000;Düz;Dizel;;1500.5;113.0;Hatchback/5;1 değişen, 3 boyalı;13.122365377402328
2059000.0;Volkswagen;Golf;1.5 eTSI Life;2025.0;9000;Otomatik;Benzin;;1498.0;116.0;Hatchback/5;Tamamı orjinal;14.537731471682465
810000.0;Volkswagen;Golf;1.2 TSi Midline Plus;2013.0;221000;Otomatik;Benzin;;1197.0;105.0;Hatchback/5;2 boyalı;13.60479076121576
1155000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2015.0;233000;Otomatik;Dizel;;1500.5;113.0;Sedan;Belirtilmemiş;13.959611767738522
1435000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2017.0;209000;Otomatik;Dizel;;1598.0;120.0;Sedan;Tamamı orjinal;14.176676104039728
2085000.0;Volkswagen;Passat;1.5 TSi Business;2022.0;61000;Otomatik;Benzin;;1500.5;138.0;Sedan;Tamamı orjinal;14.550279892831233
1135000.0;Volkswagen;Jetta;1.2 TSi BlueMotion Comfortline;2016.0;117000;Otomatik;Benzin;;1200.0;113.0;Sedan;Tamamı orjinal;13.94214408995452
1199000.0;Volkswagen;Passat Variant;1.6 TDi BlueMotion Comfortline;2014.0;197000;Otomatik;Dizel;;1500.5;113.0;Station wagon;Tamamı orjinal;13.99699926803766
1095000.0;Volkswagen;Polo;1.2 TSi Comfortline;2014.0;35000;Otomatik;Benzin;;1200.0;88.0;Hatchback/5;1 boyalı;13.90626583447433
1249750.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2016.0;280000;Otomatik;Dizel;;1500.5;113.0;Sedan;1 değişen, 9 boyalı;14.03845488943553
1079900.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2014.0;280000;Otomatik;Dizel;;1500.5;113.0;Sedan;1 boyalı;13.89237992823209
875000.0;Volkswagen;Golf;1.4 TSi Comfortline;2018.0;215000;Otomatik;Benzin;;1300.5;113.0;Hatchback/5;2 değişen, 3 boyalı;13.68198030819624
