Fiyat;Marka;Seri;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Log_Fiyat;Boya;Değişen
500000.0;Volkswagen;Golf;2005.0;154000;Düz;Dizel;Beyaz;1500.5;113.0;Hatchback/5;13.122365377402328;3;1
2059000.0;Volkswagen;Golf;2025.0;9000;Otomatik;Benzin;Beyaz;1498.0;116.0;Hatchback/5;14.537731471682465;0;0
810000.0;Volkswagen;Golf;2013.0;221000;Otomatik;Benzin;Beyaz;1197.0;105.0;Hatchback/5;13.60479076121576;2;0
1155000.0;Volkswagen;Passat;2015.0;233000;Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;13.959611767738522;0;0
1435000.0;Volkswagen;Passat;2017.0;209000;Otomatik;Dizel;Beyaz;1598.0;120.0;Sedan;14.176676104039728;0;0
2085000.0;Volkswagen;Passat;2022.0;61000;Otomatik;Benzin;Beyaz;1500.5;138.0;Sedan;14.550279892831233;0;0
1135000.0;Volkswagen;Jetta;2016.0;117000;Otomatik;Benzin;Beyaz;1200.0;113.0;Sedan;13.94214408995452;0;0
1199000.0;Volkswagen;Passat Variant;2014.0;197000;Otomatik;Dizel;Beyaz;1500.5;113.0;Station wagon;13.99699926803766;0;0
1095000.0;Volkswagen;Polo;2014.0;35000;Otomatik;Benzin;Beyaz;1200.0;88.0;Hatchback/5;13.90626583447433;1;0
1249750.0;Volkswagen;Passat;2016.0;280000;Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;14.03845488943553;9;1
1079900.0;Volkswagen;Passat;2014.0;280000;Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;13.89237992823209;1;0
875000.0;Volkswagen;Golf;2018.0;215000;Otomatik;Benzin;Beyaz;1300.5;113.0;Hatchback/5;13.68198030819624;3;2
1000020.0;Volkswagen;Passat;2012.0;191000;Yarı Otomatik;Benzin;Beyaz;1400.0;113.0;Sedan;13.815531557743777;0;0
885000.0;Volkswagen;Golf;2015.0;215992;Otomatik;Dizel;Beyaz;1598.0;90.0;Hatchback/5;13.69334405393293;3;0
509000.0;Volkswagen;Polo;2013.0;211750;Otomatik;Dizel;Beyaz;1199.0;75.0;Hatchback/5;13.140205260167273;9;1
2050000.0;Volkswagen;Golf;2025.0;6021;Otomatik;Benzin;Beyaz;1498.0;116.0;Hatchback/5;14.53335083891935;0;0
295000.0;Volkswagen;Polo;1999.0;175000;Düz;Dizel;Beyaz;1598.0;75.0;Hatchback/5;12.59473402514672;0;0
985000.0;Volkswagen;Golf;2013.0;230000;Otomatik;Benzin;Beyaz;1395.0;122.0;Hatchback/5;13.800397935382136;1;1
1435000.0;Volkswagen;Golf;2022.0;127000;Otomatik;Benzin;Beyaz;999.0;110.0;Hatchback/5;14.176676104039728;2;0
1457000.0;Volkswagen;Passat;2020.0;176000;Otomatik;Benzin;Beyaz;1500.5;138.0;Sedan;14.191890771518905;2;0
1595000.0;Volkswagen;Passat;2018.0;173500;Otomatik;Dizel;Beyaz;1598.0;120.0;Sedan;14.282384921160132;0;0
779999.0;Volkswagen;Polo;2016.0;190000;Otomatik;Dizel;Beyaz;1500.5;88.0;Hatchback/5;13.567049198665774;7;1
2495000.0;Volkswagen;Golf;2024.0;32000;Otomatik;Benzin;Beyaz;1500.5;138.0;Hatchback/5;14.72979968796928;0;0
236750.0;Volkswagen;Golf;1994.0;185000;Düz;Dizel;Beyaz;1700.5;88.0;Hatchback/5;12.37476423490424;0;0
1250000.0;Volkswagen;Passat;2013.0;190000;Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;14.038654909278163;1;1
1250000.0;Volkswagen;Golf;2015.0;129000;Otomatik;Benzin;Beyaz;1395.0;125.0;Hatchback/5;14.038654909278163;0;0
1339500.0;Volkswagen;Passat;2014.0;246500;Otomatik;Dizel;Beyaz;1598.0;120.0;Sedan;14.107807714513742;1;1
1630000.0;Volkswagen;Passat;2018.0;230000;Otomatik;Dizel;Beyaz;1598.0;120.0;Sedan;14.30409118627969;0;0
835000.0;Volkswagen;Jetta;2015.0;255000;Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;13.635188201437066;4;0
1025000.0;Volkswagen;Jetta;2015.0;230000;Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;13.840204146163924;7;1
1100000.0;Volkswagen;Passat;2012.0;230498;Yarı Otomatik;Dizel;Beyaz;1598.0;105.0;Sedan;13.910821646859096;0;0
1085000.0;Volkswagen;Polo;2023.0;15000;Otomatik;Dizel;Beyaz;999.0;80.0;Hatchback/5;13.897091466615258;0;0
1419000.0;Volkswagen;Golf;2018.0;139000;Otomatik;Benzin;Beyaz;999.0;110.0;Hatchback/5;14.165463660863566;0;1
650000.0;Volkswagen;Polo;2012.0;245000;Yarı Otomatik;Dizel;Beyaz;1390.0;85.0;Hatchback/5;13.384729180332174;4;0
650000.0;Volkswagen;Polo;2012.0;245000;Yarı Otomatik;Dizel;Beyaz;1390.0;85.0;Hatchback/5;13.384729180332174;4;0
698000.0;Volkswagen;Jetta;2012.0;286000;Yarı Otomatik;Benzin;Beyaz;1197.0;105.0;Sedan;13.45597581440824;0;0
1630000.0;Volkswagen;Passat;2017.0;220000;Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;14.30409118627969;0;0
1490000.0;Volkswagen;Passat;2020.0;238000;Otomatik;Benzin;Beyaz;1498.0;150.0;Sedan;14.214287349062356;0;0
1050000.0;Volkswagen;Golf;2016.0;190000;Otomatik;Benzin;Beyaz;1200.0;113.0;Hatchback/5;13.864301674514206;0;0
335000.0;Volkswagen;Polo;2001.0;262000;Düz;Dizel;Beyaz;1390.0;100.0;Hatchback/3;12.721888795877376;0;1
1745000.0;Volkswagen;Passat;2020.0;109000;Otomatik;Benzin;Beyaz;1500.5;138.0;Sedan;14.372265686684402;0;0
2465000.0;Volkswagen;Golf;2024.0;18500;Otomatik;Benzin;Beyaz;1498.0;150.0;Hatchback/5;14.717702771138358;0;0
1519000.0;Volkswagen;Passat;2016.0;148000;Otomatik;Benzin;Beyaz;1300.5;113.0;Sedan;14.23356343990554;0;0
1299900.0;Volkswagen;Polo;2021.0;52500;Otomatik;Benzin;Beyaz;1200.0;88.0;Hatchback/5;14.07779866568576;0;0
1985000.0;Volkswagen;Passat;2018.0;84000;Otomatik;Benzin;Beyaz;1300.5;113.0;Sedan;14.50112997588164;0;0
570000.0;Volkswagen;Jetta;2012.0;326500;Yarı Otomatik;Dizel;Beyaz;1598.0;105.0;Sedan;13.25339339419516;11;1
1495000.0;Volkswagen;Passat;2020.0;162000;Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;14.217637433703022;2;3
1150000.0;Volkswagen;Passat;2011.0;138000;Yarı Otomatik;Benzin;Beyaz;1390.0;122.0;Sedan;13.955273369904273;2;3
885000.0;Volkswagen;Polo;2016.0;199000;Otomatik;Dizel;Beyaz;1422.0;90.0;Hatchback/5;13.69334405393293;2;0
815000.0;Volkswagen;Passat;2011.0;203000;Yarı Otomatik;Benzin;Beyaz;1300.5;113.0;Sedan;13.610944619216111;4;2
857000.0;Volkswagen;Polo;2011.0;90000;Yarı Otomatik;Dizel;Beyaz;1300.5;88.0;Hatchback/5;13.66119436444038;0;0
625000.0;Volkswagen;Passat;2008.0;304000;Yarı Otomatik;Benzin;Beyaz;1500.5;113.0;Sedan;13.34550852871726;6;1
1475000.0;Volkswagen;Passat;2015.0;149000;Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;14.204169225721929;3;0
877000.0;Volkswagen;Golf;2009.0;196000;Yarı Otomatik;Benzin;Beyaz;1390.0;122.0;Hatchback/5;13.684263411604524;1;2
1135000.0;Volkswagen;Passat;2012.0;144000;Yarı Otomatik;Dizel;Beyaz;1598.0;105.0;Sedan;13.94214408995452;0;0
410000.0;Volkswagen;Bora;2004.0;285000;Düz;Dizel;Beyaz;1595.0;102.0;Sedan;12.923914877701906;4;1
1085000.0;Volkswagen;Polo;2015.0;62250;Otomatik;Benzin;Beyaz;1200.0;88.0;Hatchback/5;13.897091466615258;0;0
980000.0;Volkswagen;Jetta;2015.0;243000;Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;13.795308871054395;0;0
849000.0;Volkswagen;Jetta;2015.0;175000;Otomatik;Benzin;Beyaz;1200.0;113.0;Sedan;13.651815643149092;0;0
1070000.0;Volkswagen;Passat;2013.0;213000;Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;13.883170141017091;6;1
915000.0;Volkswagen;Passat;2014.0;410000;Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;13.726680437153236;6;2
625000.0;Volkswagen;New Beetle;2003.0;250000;Düz;Dizel;Beyaz;1500.5;113.0;Hatchback/3;13.34550852871726;0;0
1335000.0;Volkswagen;Golf;2017.0;139000;Otomatik;Benzin;Beyaz;1300.5;113.0;Hatchback/5;14.104442598879876;4;0
1439000.0;Volkswagen;Passat;2016.0;180000;Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;14.179459680796295;4;0
535000.0;Volkswagen;Jetta;2007.0;336900;Yarı Otomatik;Dizel;Beyaz;1595.0;102.0;Sedan;13.190023895035274;6;0
1615000.0;Volkswagen;Passat;2016.0;161000;Otomatik;Benzin;Beyaz;1300.5;138.0;Sedan;14.29484613383375;0;0
919000.0;Volkswagen;Polo;2024.0;24000;Otomatik;Dizel;Beyaz;1200.0;88.0;Hatchback/5;13.731042489476511;0;0
1045000.0;Volkswagen;Passat;2011.0;205000;Yarı Otomatik;Benzin;Beyaz;1300.5;113.0;Sedan;13.85952840031839;0;0
1039900.0;Volkswagen;Passat;2013.0;192000;Otomatik;Benzin;Beyaz;1300.5;113.0;Sedan;13.854636074278789;0;0
695000.0;Volkswagen;Passat;2012.0;335000;Yarı Otomatik;Benzin;Beyaz;1390.0;122.0;Sedan;13.451668563394817;7;0
775000.0;Volkswagen;Golf;2011.0;255000;Yarı Otomatik;Benzin;Beyaz;1390.0;122.0;Hatchback/5;13.560619598657231;0;0
749000.0;Volkswagen;Passat;2011.0;290000;Yarı Otomatik;Benzin;Beyaz;1300.5;113.0;Sedan;13.52649559761195;3;2
1149000.0;Volkswagen;Golf;2017.0;79000;Otomatik;Benzin;Beyaz;1200.0;113.0;Hatchback/5;13.954403427152531;0;0
1175000.0;Volkswagen;Jetta;2017.0;140000;Otomatik;Benzin;Beyaz;1300.5;113.0;Sedan;13.976779556623864;5;2
1195000.0;Volkswagen;Polo;2018.0;145000;Otomatik;Benzin;Beyaz;1300.5;88.0;Hatchback/5;13.99365758016748;4;0
999000.0;Volkswagen;Scirocco;2016.0;136000;Otomatik;Benzin;Beyaz;1300.5;138.0;Coupe;13.81451105863119;4;2
1625000.0;Volkswagen;Passat;2016.0;70000;Otomatik;Dizel;Beyaz;1598.0;120.0;Sedan;14.301018989130402;0;0
1110000.0;Volkswagen;VW CC;2015.0;228500;Otomatik;Benzin;Beyaz;1300.5;163.0;Coupe;13.919871474189012;5;2
736900.0;Volkswagen;Polo;2017.0;169000;Otomatik;Dizel;Beyaz;1422.0;75.0;Hatchback/5;13.510208833790402;3;0
1075000.0;Volkswagen;Polo;2024.0;20000;Otomatik;Dizel;Beyaz;1200.0;88.0;Hatchback/5;13.887832149776026;0;0
742000.0;Volkswagen;Passat;2014.0;250000;Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;13.517105869857504;6;1
1490000.0;Volkswagen;Golf;2017.0;128000;Otomatik;Benzin;Beyaz;1300.5;113.0;Hatchback/5;14.214287349062356;2;0
1830000.0;Volkswagen;Passat;2021.0;135000;Otomatik;Benzin;Beyaz;1498.0;150.0;Sedan;14.419827071265544;0;0
630000.0;Volkswagen;Jetta;2009.0;270000;Yarı Otomatik;Benzin;Beyaz;1390.0;122.0;Sedan;13.353476685668044;4;0
1750000.0;Volkswagen;Passat;2017.0;175000;Otomatik;Dizel;Beyaz;1598.0;120.0;Sedan;14.375126917328105;0;0
1820000.0;Volkswagen;Passat;2021.0;49000;Otomatik;Benzin;Beyaz;1498.0;150.0;Sedan;14.414347608503377;0;0
465000.0;Volkswagen;Polo;2005.0;217000;Düz;Dizel;Beyaz;1390.0;75.0;Hatchback/5;13.049794835104816;6;1
955000.0;Volkswagen;Golf;2016.0;258000;Otomatik;Dizel;Beyaz;1500.5;113.0;Hatchback/5;13.769467666582738;0;0
1125000.0;Volkswagen;Golf;2017.0;208000;Otomatik;Dizel;Beyaz;1500.5;113.0;Hatchback/5;13.933294482509153;0;0
870000.0;Volkswagen;Jetta;2012.0;235000;Yarı Otomatik;Dizel;Beyaz;1598.0;105.0;Sedan;13.676249640055394;6;0
755000.0;Volkswagen;Polo;2013.0;201000;Otomatik;Dizel;Beyaz;1500.5;88.0;Hatchback/5;13.534474352733596;3;3
1715000.0;Volkswagen;Passat;2018.0;100000;Otomatik;Benzin;Beyaz;1300.5;113.0;Sedan;14.354924221672386;0;0
1205000.0;Volkswagen;Jetta;2017.0;149000;Otomatik;Benzin;Beyaz;1300.5;113.0;Sedan;14.001990954782066;0;0
1680000.0;Volkswagen;Passat;2016.0;72440;Otomatik;Benzin;Beyaz;1300.5;113.0;Sedan;14.33430494661736;5;3
1600000.0;Volkswagen;Passat;2016.0;203000;Otomatik;Dizel;Beyaz;1598.0;120.0;Sedan;14.285514812209817;0;0
529000.0;Volkswagen;Golf;2004.0;262000;Düz;Benzin;Beyaz;1598.0;115.0;Hatchback/5;13.178745601197818;0;0
325000.0;Volkswagen;Passat;1998.0;371000;Düz;Dizel;Beyaz;1781.0;125.0;Sedan;12.691583538230216;12;1
850000.0;Volkswagen;Jetta;2011.0;200550;Yarı Otomatik;Dizel;Beyaz;1598.0;105.0;Sedan;13.652992804936396;3;1
1035000.0;Volkswagen;Jetta;2016.0;177000;Otomatik;Benzin;Beyaz;1395.0;125.0;Sedan;13.849912950864717;2;2
1525000.0;Volkswagen;Passat;2015.0;164000;Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;14.23750562376114;0;0
1200000.0;Volkswagen;Golf;2013.0;168000;Otomatik;Benzin;Beyaz;1395.0;122.0;Hatchback/5;13.997832948091215;0;0
199750.0;Volkswagen;Polo;1997.0;94000;Düz;Dizel;Beyaz;1595.0;100.0;Sedan;12.204826869873813;0;0
1250000.0;Volkswagen;Polo;2021.0;103000;Otomatik;Benzin;Beyaz;999.0;95.0;Hatchback/5;14.038654909278163;0;0
785000.0;Volkswagen;Jetta;2011.0;277000;Yarı Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;13.573440270649083;0;0
1385000.0;Volkswagen;Golf;2021.0;156500;Otomatik;Benzin;Beyaz;999.0;110.0;Hatchback/5;14.141211419624977;0;0
1490000.0;Volkswagen;Passat;2017.0;180000;Otomatik;Dizel;Beyaz;1598.0;120.0;Sedan;14.214287349062356;0;0
900000.0;Volkswagen;Jetta;2014.0;273000;Otomatik;Dizel;Beyaz;1598.0;105.0;Sedan;13.71015115341694;0;1
1185000.0;Volkswagen;Passat;2016.0;250000;Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;13.98525417643287;2;3
610000.0;Volkswagen;Jetta;2010.0;375000;Yarı Otomatik;Dizel;Beyaz;1595.0;102.0;Sedan;13.321215875492411;0;0
1473000.0;Volkswagen;Polo;2024.0;6046;Otomatik;Benzin;Beyaz;1200.0;88.0;Hatchback/5;14.202812374331163;0;0
1100000.0;Volkswagen;Jetta;2014.0;197000;Otomatik;Dizel;Beyaz;1598.0;105.0;Sedan;13.910821646859096;0;0
710000.0;Volkswagen;Polo;2013.0;280000;Otomatik;Dizel;Beyaz;1598.0;90.0;Hatchback/5;13.47302165746721;4;0
300000.0;Volkswagen;Polo;2000.0;278000;Düz;Dizel;Beyaz;1598.0;75.0;Hatchback/5;12.611541086966117;0;0
665000.0;Volkswagen;Jetta;2011.0;272000;Yarı Otomatik;Dizel;Beyaz;1598.0;105.0;Sedan;13.407543823396258;5;0
1135000.0;Renault;Clio;2020.0;56000;Otomatik;Benzin;Beyaz;999.0;100.0;Hatchback/5;13.94214408995452;0;0
725000.0;Renault;Clio;2018.0;178000;Otomatik;Dizel;Beyaz;1461.0;75.0;Station wagon;13.493928313146206;0;0
975000.0;Renault;Clio;2021.0;166000;Otomatik;Benzin;Beyaz;999.0;90.0;Hatchback/5;13.790193775620484;0;0
767750.0;Renault;Clio;2019.0;192000;Otomatik;Dizel;Beyaz;1461.0;75.0;Hatchback/5;13.551220740809548;2;0
719950.0;Renault;Latitude;2011.0;211000;Yarı Otomatik;Dizel;Beyaz;1995.0;175.0;Sedan;13.486938433120798;2;0
595500.0;Renault;Scenic;2006.0;187500;Yarı Otomatik;Dizel;Beyaz;1500.5;113.0;MPV;13.297158347037207;0;0
1269750.0;Renault;Megane;2020.0;118000;Otomatik;Dizel;Beyaz;1461.0;115.0;Sedan;14.054331376219787;0;0
314750.0;Renault;Clio;2000.0;270000;Düz;Dizel;Beyaz;1390.0;75.0;Sedan;12.65953712902625;2;0
720000.0;Renault;Clio;2022.0;80000;Otomatik;Dizel;Beyaz;999.0;65.0;Hatchback/5;13.487007879880162;3;0
559000.0;Renault;Clio;2011.0;110000;Yarı Otomatik;Dizel;Beyaz;1149.0;75.0;Hatchback/5;13.2339065410444;6;0
1075000.0;Renault;Clio;2020.0;55000;Otomatik;Benzin;Beyaz;1332.0;130.0;Hatchback/5;13.887832149776026;0;1
1650000.0;Renault;Megane;2025.0;6001;Otomatik;Benzin;Beyaz;1332.0;140.0;Sedan;14.316286451937186;0;0
805950.0;Renault;Clio;2020.0;88000;Otomatik;Benzin;Beyaz;898.0;90.0;Station wagon;13.599778225596069;3;0
785000.0;Renault;Clio;2016.0;190000;Otomatik;Dizel;Beyaz;1461.0;90.0;Hatchback/5;13.573440270649083;6;0
1219950.0;Renault;Clio;2024.0;42000;Otomatik;Benzin;Beyaz;999.0;90.0;Hatchback/5;14.01432125196842;3;0
1155000.0;Renault;Megane;2020.0;182000;Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;13.959611767738522;1;1
349000.0;Renault;Symbol;2011.0;313000;Yarı Otomatik;Dizel;Beyaz;1461.0;85.0;Sedan;12.762830066509972;0;0
575000.0;Renault;Symbol;2016.0;210000;Otomatik;Dizel;Beyaz;1461.0;90.0;Sedan;13.26212705890841;0;0
520000.0;Renault;Megane;2004.0;250000;Düz;Dizel;Beyaz;1598.0;115.0;Hatchback/5;13.161586013632684;0;0
1499000.0;Renault;Megane;2020.0;50840;Otomatik;Benzin;Beyaz;1332.0;140.0;Sedan;14.22030944419592;0;0
1895000.0;Renault;Megane;2024.0;6061;Otomatik;Dizel;Beyaz;1461.0;115.0;Sedan;14.45472992420301;0;0
1738000.0;Renault;Megane;2024.0;34500;Otomatik;Benzin;Beyaz;1332.0;140.0;Sedan;14.368246160181302;0;0
1045000.0;Renault;Megane;2019.0;106000;Otomatik;Benzin;Beyaz;1332.0;140.0;Sedan;13.85952840031839;1;1
269000.0;Renault;R 9;1999.0;330000;Düz;Dizel;Beyaz;1397.0;72.0;Sedan;12.502470376049184;0;0
758500.0;Renault;Clio;2021.0;85000;Otomatik;Dizel;Beyaz;1200.0;63.0;Hatchback/5;13.539099396161417;0;0
1275000.0;Renault;Megane;2019.0;101000;Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;14.058457520888082;4;0
1520000.0;Renault;Megane;2024.0;16000;Otomatik;Benzin;Beyaz;1332.0;140.0;Sedan;14.23422155071698;0;0
1415000.0;Renault;Megane;2017.0;120000;Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;14.162640795773006;1;0
230000.0;Renault;R 12;1977.0;250000;Düz;Dizel;Beyaz;1300.0;60.0;Station wagon;12.345838935721968;0;0
560000.0;Renault;Fluence;2012.0;240000;Yarı Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;13.235693848424024;8;0
1179000.0;Renault;Clio;2024.0;52000;Otomatik;Benzin;Beyaz;1200.0;88.0;Hatchback/5;13.980178027695567;0;0
1195000.0;Renault;Megane;2020.0;124000;Otomatik;Dizel;Beyaz;1500.5;113.0;Sedan;13.99365758016748;5;1
1019500.0;Renault;Clio;2022.0;90000;Otomatik;Benzin;Beyaz;1200.0;88.0;Hatchback/5;13.834823849869142;0;0
155000.0;Renault;R 12;1990.0;123456;Düz;Dizel;Beyaz;1397.0;72.0;Sedan;11.951186847493476;0;0
595000.0;Renault;Fluence;2011.0;220000;Yarı Otomatik;Dizel;Beyaz;1461.0;85.0;Sedan;13.296318365198625;0;0
1325000.0;Renault;Megane;2022.0;86000;Otomatik;Benzin;Beyaz;1300.5;138.0;Sedan;14.096923772119156;0;0
2149500.0;Renault;Megane;2025.0;6200;Otomatik;Dizel;Beyaz;1461.0;115.0;Sedan;14.580746280142836;0;0
1535000.0;Renault;Megane;2024.0;61740;Otomatik;Benzin;Beyaz;1332.0;140.0;Sedan;14.24404159046902;0;0
459000.0;Renault;Clio;2008.0;225000;Yarı Otomatik;Dizel;Beyaz;1461.0;65.0;Sedan;13.036807667689546;0;0
668000.0;Renault;Symbol;2017.0;210000;Otomatik;Dizel;Beyaz;1461.0;90.0;Sedan;13.41204494952365;2;1
