Seri;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Log_Fiyat;Boya;Değişen;Marka_Audi;Marka_BMW;Marka_Chevrolet;Marka_Citroen;Marka_Fiat;Marka_Ford;Marka_Honda;Marka_Hyundai;Marka_Mercedes - Benz;Marka_Opel;Marka_Peugeot;Marka_Renault;Marka_Skoda;Marka_Toyota;Marka_Volkswagen
14.08826236185833;2013.0;178000;1;1;2;1598.0;105.0;8;13.869052272759154;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
14.08826236185833;2009.0;289000;2;1;2;1968.0;140.0;8;13.429849547739444;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
13.96014371961104;2018.0;149000;1;1;2;1500.5;113.0;4;14.19736648302693;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
13.492046667465324;2001.0;310000;0;1;2;1390.0;100.0;4;12.5421912482017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
13.492046667465324;2017.0;65000;1;0;2;1197.0;90.0;4;13.968232503350668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
13.639097625958227;2008.0;199000;2;1;2;1595.0;102.0;8;13.455259226368389;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
14.08826236185833;2016.0;148000;1;1;2;1598.0;120.0;8;14.389311544271775;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
14.08826236185833;2022.0;93000;1;0;2;1498.0;150.0;8;14.459993091477184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
13.492046667465324;2023.0;104000;1;0;2;1200.0;88.0;4;14.042646927360453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
13.96014371961104;2014.0;235000;1;1;2;1500.5;113.0;4;13.800397935382136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
13.96014371961104;2005.0;154000;0;1;2;1500.5;113.0;4;13.122365377402328;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
13.96014371961104;2025.0;9000;1;0;2;1498.0;116.0;4;14.537731471682465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
13.96014371961104;2013.0;221000;1;0;2;1197.0;105.0;4;13.60479076121576;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
14.08826236185833;2015.0;233000;1;1;2;1500.5;113.0;8;13.959611767738522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
14.08826236185833;2017.0;209000;1;1;2;1598.0;120.0;8;14.176676104039728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
14.08826236185833;2022.0;61000;1;0;2;1500.5;138.0;8;14.550279892831233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
13.639097625958227;2016.0;117000;1;0;2;1200.0;113.0;8;13.94214408995452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
